	Nouns	Verbs																															
m frequency:	233	53					n% #4:	0.10989010989011	0																								
m percentage of total phonemes:	3.83	1.92					n% #5:	0.032967032967033	0																								
Frequency at syllable #1:	113	25					n% #6:	0.010989010989011	0																								
Frequency at syllable #2:	58	18					ny% #1:	0.615384615384615	0.471698113207547																								
Frequency at syllable #3:	50	10					ny% #2:	0.307692307692308	0.339622641509434																								
Frequency at syllable #4:	10	0					ny% #3:	0.076923076923077	0.188679245283019																								
Frequency at syllable #5:	2	0					ny% #4:	0	0																								
Frequency at syllable #6:	0	0					ny% #5:	0	0																								
n frequency:	91	32					ny% #6:	0	0																								
n percentage of total phonemes:	1.5	1.16					ng'% #1:	0.5	0.28125																								
Frequency at syllable #1:	17	9					ng'% #2:	0.2	0.28125																								
Frequency at syllable #2:	31	9					ng'% #3:	0.2	0.28125																								
Frequency at syllable #3:	29	9					ng'% #4:	0.1	0.125																								
Frequency at syllable #4:	10	4					ng'% #5:	0	0.03125																								
Frequency at syllable #5:	3	1					ng'% #6:	0	0																								
Frequency at syllable #6:	1	0					ng'w% #1:	1	0																								
ny frequency:	13	1					ng'w% #2:	0	0																								
ny percentage of total phonemes:	0.21	0.04					ng'w% #3:	0	1																								
Frequency at syllable #1:	8	0					ng'w% #4:	0	0																								
Frequency at syllable #2:	4	0					ng'w% #5:	0	0																								
Frequency at syllable #3:	1	1					ng'w% #6:	0	0																								
Frequency at syllable #4:	0	0					mb% #1:	0.10126582278481	0																								
Frequency at syllable #5:	0	0					mb% #2:	0.455696202531646	0																								
Frequency at syllable #6:	0	0					mb% #3:	0.392405063291139	1																								
ng' frequency:	10	1					mb% #4:	0.050632911392405	0																								
ng' percentage of total phonemes:	0.16	0.04					mb% #5:	0	0																								
Frequency at syllable #1:	5	0					mb% #6:	0	0																								
Frequency at syllable #2:	2	0					mp% #1:	0.166666666666667	0																								
Frequency at syllable #3:	2	1					mp% #2:	0.666666666666667	0.6																								
Frequency at syllable #4:	1	0					mp% #3:	0.166666666666667	0.2																								
Frequency at syllable #5:	0	0					mp% #4:	0	0																								
Frequency at syllable #6:	0	0					mp% #5:	0	0.2																								
ng'w frequency:	1	0					mp% #6:	0	0																								
ng'w percentage of total phonemes:	0.02	0					nd% #1:	0.120481927710843	0																								
Frequency at syllable #1:	1	0					nd% #2:	0.409638554216867	1																								
Frequency at syllable #2:	0	0					nd% #3:	0.301204819277108	0																								
Frequency at syllable #3:	0	0					nd% #4:	0.156626506024096	0																								
Frequency at syllable #4:	0	0					nd% #5:	0.012048192771084	0																								
Frequency at syllable #5:	0	0					nd% #6:	0	0																								
Frequency at syllable #6:	0	0					nt% #1:	0.391304347826087	0.071428571428572																								
mb frequency:	79	5					nt% #2:	0.304347826086957	0.714285714285714																								
mb percentage of total phonemes:	1.3	0.18					nt% #3:	0.217391304347826	0.214285714285714																								
Frequency at syllable #1:	8	0					nt% #4:	0.086956521739131	0																								
Frequency at syllable #2:	36	3					nt% #5:	0	0																								
Frequency at syllable #3:	31	1					nt% #6:	0	0																								
Frequency at syllable #4:	4	0					ng% #1:	0.070866141732284	0																								
Frequency at syllable #5:	0	1					ng% #2:	0.488188976377953	1																								
Frequency at syllable #6:	0	0					ng% #3:	0.322834645669291	0																								
mp frequency:	6	1					ng% #4:	0.102362204724409	0																								
mp percentage of total phonemes:	0.1	0.04					ng% #5:	0.015748031496063	0																								
Frequency at syllable #1:	1	0					ng% #6:	0	0																								
Frequency at syllable #2:	4	1					nk% #1:	0.181818181818182	0.04																								
Frequency at syllable #3:	1	0					nk% #2:	0.545454545454545	0.6																								
Frequency at syllable #4:	0	0					nk% #3:	0.090909090909091	0.2																								
Frequency at syllable #5:	0	0					nk% #4:	0.181818181818182	0.16																								
Frequency at syllable #6:	0	0					nk% #5:	0	0																								
nd frequency:	83	14					nk% #6:	0	0																								
nd percentage of total phonemes:	1.37	0.51					ngw% #1:	0.333333333333333	0																								
Frequency at syllable #1:	10	1					ngw% #2:	0.333333333333333	1																								
Frequency at syllable #2:	34	10					ngw% #3:	0.333333333333333	0																								
Frequency at syllable #3:	25	3					ngw% #4:	0	0																								
Frequency at syllable #4:	13	0					ngw% #5:	0	0																								
Frequency at syllable #5:	1	0					ngw% #6:	0	0																								
Frequency at syllable #6:	0	0					nz% #1:	0.272727272727273	0																								
nt frequency:	23	3					nz% #2:	0.454545454545455	1																								
nt percentage of total phonemes:	0.38	0.11					nz% #3:	0.090909090909091	0																								
Frequency at syllable #1:	9	0					nz% #4:	0.181818181818182	0																								
Frequency at syllable #2:	7	3					nz% #5:	0	0																								
Frequency at syllable #3:	5	0					nz% #6:	0	0																								
Frequency at syllable #4:	2	0					nj% #1:	0.2	0																								
Frequency at syllable #5:	0	0					nj% #2:	0.6	0.5																								
Frequency at syllable #6:	0	0					nj% #3:	0.2	0.25																								
ng frequency:	127	25					nj% #4:	0	0.25																								
ng percentage of total phonemes:	2.09	0.91					nj% #5:	0	0																								
Frequency at syllable #1:	9	1					nj% #6:	0	0																								
Frequency at syllable #2:	62	15					f% #1:	0.166666666666667	0.142857142857143																								
Frequency at syllable #3:	41	5					f% #2:	0.444444444444444	0.714285714285714																								
Frequency at syllable #4:	13	4					f% #3:	0.277777777777778	0.142857142857143																								
Frequency at syllable #5:	2	0					f% #4:	0.111111111111111	0																								
Frequency at syllable #6:	0	0					f% #5:	0	0																								
nk frequency:	11	4					f% #6:	0	0																								
nk percentage of total phonemes:	0.18	0.14					s% #1:	0.41958041958042	0.288888888888889																								
Frequency at syllable #1:	2	0					s% #2:	0.328671328671329	0.622222222222222																								
Frequency at syllable #2:	6	4					s% #3:	0.223776223776224	0.088888888888889																								
Frequency at syllable #3:	1	0					s% #4:	0.027972027972028	0																								
Frequency at syllable #4:	2	0					s% #5:	0	0																								
Frequency at syllable #5:	0	0					s% #6:	0	0																								
Frequency at syllable #6:	0	0					sl% #1:	0.478260869565217	0.45																								
ngw frequency:	3	1					sl% #2:	0.391304347826087	0.55																								
ngw percentage of total phonemes:	0.05	0.04					sl% #3:	0.086956521739131	0																								
Frequency at syllable #1:	1	0					sl% #4:	0.043478260869565	0																								
Frequency at syllable #2:	1	1					sl% #5:	0	0																								
Frequency at syllable #3:	1	0					sl% #6:	0	0																								
Frequency at syllable #4:	0	0					sh% #1:	0.277777777777778	0.307692307692308																								
Frequency at syllable #5:	0	0					sh% #2:	0.351851851851852	0.5																								
Frequency at syllable #6:	0	0					sh% #3:	0.240740740740741	0.153846153846154																								
nz frequency:	22	0					sh% #4:	0.111111111111111	0.038461538461539																								
nz percentage of total phonemes:	0.36	0					sh% #5:	0.018518518518519	0																								
Frequency at syllable #1:	6	0					sh% #6:	0	0																								
Frequency at syllable #2:	10	0					r% #1:	0.110824742268041	0.142857142857143																								
Frequency at syllable #3:	2	0					r% #2:	0.430412371134021	0.506493506493506																								
Frequency at syllable #4:	4	0					r% #3:	0.31701030927835	0.285714285714286																								
Frequency at syllable #5:	0	0					r% #4:	0.118556701030928	0.064935064935065																								
Frequency at syllable #6:	0	0					r% #5:	0.018041237113402	0																								
ns frequency:	0	0					r% #6:	0.005154639175258	0																								
ns percentage of total phonemes:	0	0					y% #1:	0.134328358208955	0.235294117647059																								
Frequency at syllable #1:	0	0					y% #2:	0.388059701492537	0.294117647058824																								
Frequency at syllable #2:	0	0					y% #3:	0.328358208955224	0.235294117647059																								
Frequency at syllable #3:	0	0					y% #4:	0.134328358208955	0.176470588235294																								
Frequency at syllable #4:	0	0					y% #5:	0.014925373134328	0.058823529411765																								
Frequency at syllable #5:	0	0					y% #6:	0	0																								
Frequency at syllable #6:	0	0					w% #1:	0.275862068965517	0.4																								
nj frequency:	10	4					w% #2:	0.431034482758621	0.52																								
nj percentage of total phonemes:	0.16	0.14					w% #3:	0.206896551724138	0.04																								
Frequency at syllable #1:	2	0					w% #4:	0.086206896551724	0.04																								
Frequency at syllable #2:	6	2					w% #5:	0	0																								
Frequency at syllable #3:	2	1					w% #6:	0	0																								
Frequency at syllable #4:	0	1					h% #1:	0.619834710743802	0.608695652173913																								
Frequency at syllable #5:	0	0					h% #2:	0.247933884297521	0.347826086956522																								
Frequency at syllable #6:	0	0					h% #3:	0.099173553719008	0.032608695652174																								
f frequency:	18	7					h% #4:	0.024793388429752	0.010869565217391																								
f percentage of total phonemes:	0.3	0.25					h% #5:	0.008264462809917	0																								
Frequency at syllable #1:	3	1					h% #6:	0	0																								
Frequency at syllable #2:	8	5																															
Frequency at syllable #3:	5	1																															
Frequency at syllable #4:	2	0																															
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0																															
s frequency:	143	45																															
s percentage of total phonemes:	2.35	1.63																															
Frequency at syllable #1:	60	13																															
Frequency at syllable #2:	47	28																															
Frequency at syllable #3:	32	4																															
Frequency at syllable #4:	4	0																															
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0																															
sl frequency:	23	20																															
sl percentage of total phonemes:	0.38	0.72																															
Frequency at syllable #1:	11	9																															
Frequency at syllable #2:	9	11																															
Frequency at syllable #3:	2	0																															
Frequency at syllable #4:	1	0																															
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0																															
sh frequency:	54	26																															
sh percentage of total phonemes:	0.89	0.94																															
Frequency at syllable #1:	15	8																															
Frequency at syllable #2:	19	13																															
Frequency at syllable #3:	13	4																															
Frequency at syllable #4:	6	1																															
Frequency at syllable #5:	1	0																															
Frequency at syllable #6:	0	0																															
r frequency:	388	77																															
r percentage of total phonemes:	6.39	2.79																															
Frequency at syllable #1:	43	11																															
Frequency at syllable #2:	167	39																															
Frequency at syllable #3:	123	22																															
Frequency at syllable #4:	46	5																															
Frequency at syllable #5:	7	0																															
Frequency at syllable #6:	2	0																															
y frequency:	67	17																															
y percentage of total phonemes:	1.1	0.62																															
Frequency at syllable #1:	9	4																															
Frequency at syllable #2:	26	5																															
Frequency at syllable #3:	22	4																															
Frequency at syllable #4:	9	3																															
Frequency at syllable #5:	1	1																															
Frequency at syllable #6:	0	0																															
w frequency:	58	25																															
w percentage of total phonemes:	0.95	0.91																															
Frequency at syllable #1:	16	10																															
Frequency at syllable #2:	25	13																															
Frequency at syllable #3:	12	1																															
Frequency at syllable #4:	5	1																															
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0																															
h frequency:	121	92																															
h percentage of total phonemes:	1.99	3.33																															
Frequency at syllable #1:	75	56																															
Frequency at syllable #2:	30	32																															
Frequency at syllable #3:	12	3																															
Frequency at syllable #4:	3	1																															
Frequency at syllable #5:	1	0																															
Frequency at syllable #6:	0	0																															
