	Nouns	Verbs																															
Frequency at syllable #5:	0	0					d	1.63	0.62	1.125																						p	1.425
Frequency at syllable #6:	0	0					k	1.68	3.08	2.38																						ng	1.5
cc frequency:	29	23					h	1.99	3.33	2.66																						g	1.535
cc percentage of total phonemes:	0.48	0.83					g	2.06	1.01	1.535																						s	1.99
Frequency at syllable #1:	20	18					ng	2.09	0.91	1.5																						k	2.38
Frequency at syllable #2:	6	4					t	2.21	2.61	2.41																						t	2.41
Frequency at syllable #3:	2	1					s	2.35	1.63	1.99																						h	2.66
Frequency at syllable #4:	1	0					m	3.83	1.92	2.875																						m	2.875
Frequency at syllable #5:	0	0					r	6.39	2.79	4.59																						r	4.59
Frequency at syllable #6:	0	0																															
qq frequency:	41	33																															
qq percentage of total phonemes:	0.67	1.2																															
Frequency at syllable #1:	26	18																															
Frequency at syllable #2:	12	12																															
Frequency at syllable #3:	3	1																															
Frequency at syllable #4:	0	2																															
Frequency at syllable #5:	0	0																															
Frequency at syllable #6:	0	0						Nouns	Verbs																								
xx frequency:	14	23					a% #1:	0.339137645107794	0.426724137931034																								
xx percentage of total phonemes:	0.23	0.83					a% #2:	0.355721393034826	0.357758620689655																								
Frequency at syllable #1:	9	12					a% #3:	0.19485903814262	0.165948275862069																								
Frequency at syllable #2:	5	11					a% #4:	0.097844112769486	0.040948275862069																								
Frequency at syllable #3:	0	0					a% #5:	0.011608623548922	0.006465517241379																								
Frequency at syllable #4:	0	0					a% #6:	0.000829187396352	0.002155172413793																								
Frequency at syllable #5:	0	0					e% #1:	0.258454106280193	0.436363636363636																								
Frequency at syllable #6:	0	0					e% #2:	0.35024154589372	0.422727272727273																								
bb frequency:	0	2					e% #3:	0.277777777777778	0.095454545454546																								
bb percentage of total phonemes:	0	0.07					e% #4:	0.084541062801932	0.027272727272727																								
Frequency at syllable #1:	0	1					e% #5:	0.019323671497585	0.013636363636364																								
Frequency at syllable #2:	0	1					e% #6:	0.009661835748792	0.004545454545455																								
Frequency at syllable #3:	0	0					u% #1:	0.42152466367713	0.581395348837209																								
Frequency at syllable #4:	0	0					u% #2:	0.336322869955157	0.306976744186047																								
Frequency at syllable #5:	0	0					u% #3:	0.192825112107623	0.083720930232558																								
Frequency at syllable #6:	0	0					u% #4:	0.040358744394619	0.027906976744186																								
zz frequency:	75	34					u% #5:	0.006726457399103	0																								
zz percentage of total phonemes:	1.23	1.23					u% #6:	0.002242152466368	0																								
Frequency at syllable #1:	39	14					i% #1:	0.352136752136752	0.456410256410256																								
